-0.133630621,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,KTE,LAX,MPN,POL,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,WLF,WRF,WRG
DJI,0.257826235,-0.050996617,-0.08304548,0.180652558,-0.078007645,0.106698103,0.129401645,0.292003263,0.371390676,-0.08304548,-0.049629167,0.190252957,-0.034482759,0.138336002,-0.034482759,0.17864905,-0.129341637,-0.034482759,-0.034482759,-0.049629167,-0.08304548,-0.111978502,0.092847669,-0.009917336,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.015091697,0.198919965,-0.068572548,-0.08304548,0.116702861,0.077818719,-0.1024439,0.205517042,0.042852222,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,0.058167975,0.097525022,-0.049629167,-0.046915106,-0.049629167,0.242212665,-0.1024439,0.111978502,-0.099929762,-0.08304548,-0.111978502,0.173702083,0.084643803,0.114071739,0.212239911
DMA,0.257826235,0.288980832,0.415227399,0.25058258,0.31203058,0.179446809,0.254629044,-0.121208902,-0.092847669,-0.08304548,0.694808334,-0.248792328,-0.034482759,0.188946735,1,-0.267973575,0.424979665,-0.034482759,-0.034482759,0.694808334,0.415227399,0.307940881,0.247593784,0.347106774,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.377292413,0.198919965,0.274290193,0.415227399,0.116702861,0.290051588,0.336601385,0.205517042,0.282027413,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,0.557086015,-0.072835704,0.167232928,0.164019355,0.694808334,0.891387009,0.694808334,0.335371383,-0.1024439,-0.193417413,0.462175147,-0.08304548,0.307940881,-0.198516667,0.084643803,0.228143479,-0.058704656
DOM,0.620927798,0.641373062,0.84,0.53611725,0.68884672,0.327043893,0.566314329,0.159223468,-0.223606798,0.44,0.836660027,-0.105736107,-0.08304548,0.398163496,0.415227399,0.155365848,0.608158685,-0.08304548,-0.08304548,0.836660027,0.84,0.674199862,0.571439594,0.67353187,0.251312345,0.175411604,0.117041147,-0.08304548,-0.08304548,0.676028499,0.479062715,0.605530071,0.52,0.281057708,0.664461763,0.740152746,0.49495058,0.616810856,0.747409319,-0.119522861,0.332181919,-0.2,0.495183665,0.745355992,-0.175411604,0.402750223,0.384334944,0.836660027,0.715581398,0.836660027,0.643153584,0.176226844,-0.049032717,0.842319573,-0.2,0.674199862,0.239045722,0.538028406,0.485340659,-0.043501395
ECU,0.409402944,0.438628993,0.628571429,0.413014785,0.469668218,0.28366052,0.420068321,-0.066343112,-0.159719141,0.285714286,0.939108193,-0.276927898,-0.0593182,0.298912829,0.830454799,-0.115243898,0.572135348,-0.0593182,-0.0593182,0.939108193,0.628571429,0.529728463,0.42591771,0.535686442,0.179508818,0.125294003,0.083600819,-0.0593182,-0.0593182,0.586722123,0.342187653,0.471841614,0.542857143,0.200755506,0.498954803,0.503505269,0.353536129,0.474865501,0.474545599,-0.085373472,0.19278415,-0.142857143,0.353702618,0.745355992,-0.125294003,0.297059559,0.282150654,0.939108193,0.968456028,0.939108193,0.544864332,-0.025175263,-0.214518138,0.66612007,-0.142857143,0.529728463,-0.021343368,0.267343307,0.363024348,-0.042724584
EGY,0.350988967,0.525293973,0.51020323,0.223897295,0.529323639,-0.005781357,0.339128452,0.105081817,-0.263927778,0.281754022,0.427776811,0.010735702,-0.129639773,0.274117958,0.154935338,0.197260311,0.343944805,-0.129639773,-0.129639773,0.427776811,0.51020323,0.464628279,0.434203763,0.426501232,0.344472636,0.273829719,0.182709375,-0.129639773,-0.129639773,0.463591295,0.343392524,0.465301454,0.236064181,0.130386102,0.4093296,0.540810993,0.26029902,0.303660031,0.439510449,-0.186583503,0.186554795,-0.083764709,0.27443121,0.448393429,-0.273829719,0.158680411,0.022153496,0.427776811,0.339853849,0.427776811,0.372445209,0.178481047,-0.209094394,0.569263914,-0.312213917,0.464628279,0.038681946,0.394565856,0.387018914,0.002898542
ERI,0.257826235,0.288980832,-0.08304548,0.198135064,0.31203058,0.106698103,0.212886578,0.292003263,-0.092847669,0.415227399,-0.049629167,0.190252957,-0.034482759,0.08772527,-0.034482759,0.17864905,0.240205898,-0.034482759,-0.034482759,-0.049629167,-0.08304548,0.307940881,0.247593784,0.347106774,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.196192055,0.198919965,0.274290193,-0.08304548,0.116702861,0.290051588,0.336601385,0.205517042,0.252130514,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,0.221765404,0.230513688,-0.049629167,-0.046915106,-0.049629167,0.242212665,0.336601385,0.188327481,0.274806844,-0.08304548,0.307940881,0.173702083,0.292784302,0.171107609,0.009031486
ESP,0.863141605,0.71978095,0.675431606,0.777226123,0.747564151,0.455328353,0.797879092,0.740929113,-0.309214088,0.596411753,0.380035892,0.403174049,-0.122651422,0.572308412,0.275770394,0.491248102,0.883689061,-0.122651422,-0.122651422,0.380035892,0.675431606,0.847963194,0.814053414,0.816714737,0.412540118,0.296196353,0.212497005,-0.099214844,-0.122651422,0.759377201,0.772196635,0.781428425,0.246466686,0.44640926,0.916284867,0.779491931,0.796477638,0.936085662,0.252333816,-0.210256544,0.443732532,-0.31796084,0.799667082,0.466976377,-0.271444569,0.676369217,0.595450628,0.380035892,0.364567333,0.380035892,0.914287707,0.819278844,0.311809679,0.760968357,-0.31796084,0.847963194,0.525079177,0.794309844,0.624117171,0.223947331
EST,0.088918777,0.312791421,0.046541003,-0.052254313,0.211302024,0.005436054,-0.017155338,0.094174087,-0.312206541,0.186164013,-0.027813569,-0.057412419,-0.115950598,0.068072799,-0.115950598,-0.070222993,0.082841898,-0.115950598,-0.115950598,-0.027813569,0.046541003,0.133356236,0.196574489,0.122274943,0.131583697,0.244914961,0.163416372,0.173925898,-0.115950598,0.101493692,0.014540908,0.185744848,-0.13962301,-0.145436816,0.10308239,0.188640805,0.061188038,0.032393108,0.077300399,-0.166881416,-0.043481474,0.465410032,0.038410574,-0.034689616,0.214300591,0.05806689,0.045339423,-0.027813569,-0.070113424,-0.027813569,0.100936904,0.188640805,0.098412624,0.154009421,-0.13962301,0.133356236,-0.146021239,0.121313651,0.053274154,-0.039226597
ETH,0.72824551,0.795403968,0.656461502,0.73184688,0.835445315,0.328963128,0.753603542,0.679968457,-0.18940549,0.59293297,0.183500206,0.500062665,-0.136290401,0.540309468,0.127497472,0.521030789,0.808045857,-0.136290401,-0.136290401,0.183500206,0.656461502,0.869110911,0.751703037,0.810503041,0.395811465,0.287877412,0.192082518,-0.136290401,-0.136290401,0.717709127,0.686973776,0.799968628,0.179997509,0.461258914,0.835225895,0.882573285,0.689463894,0.83643138,0.127497472,-0.196155392,0.495701378,-0.328230751,0.690334731,0.386702874,-0.287877412,0.58449476,0.529583616,0.183500206,0.173465164,0.183500206,0.767286563,0.826596122,0.316040331,0.799484697,-0.328230751,0.869110911,0.591629973,0.844065838,0.559938549,0.173875229
EUN,0.257826235,-0.050996617,-0.08304548,0.180652558,-0.078007645,0.106698103,0.150272878,0.292003263,-0.092847669,-0.08304548,-0.049629167,0.190252957,-0.034482759,0.138336002,-0.034482759,0.17864905,0.240205898,-0.034482759,-0.034482759,-0.049629167,-0.08304548,-0.111978502,0.092847669,0.049586682,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.015091697,0.198919965,-0.068572548,-0.08304548,0.116702861,0.077818719,-0.1024439,0.205517042,0.252130514,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,0.167232928,0.097525022,-0.049629167,-0.046915106,-0.049629167,0.242212665,0.336601385,0.111978502,-0.099929762,-0.08304548,-0.111978502,0.173702083,0.084643803,0.114071739,0.212239911
FIJ,0.433674786,0.486078154,0.698430296,0.399435905,0.52484882,0.271245619,0.419520396,-0.030118425,-0.156173762,0.279372118,0.855653468,-0.233856117,-0.058001479,0.317816512,0.377009614,0.050082561,0.481735974,-0.058001479,-0.058001479,0.855653468,0.698430296,0.51796977,0.416463365,0.533804327,0.175524155,0.122512778,0.081745083,-0.058001479,-0.058001479,0.558467379,0.334591914,0.461367869,0.698430296,0.196299218,0.487879211,0.566177968,0.34568848,0.461810239,0.812020707,-0.083478387,0.232005916,-0.139686059,0.345851273,0.937042571,-0.122512778,0.281292958,0.27588759,0.855653468,0.710218981,0.855653468,0.524934811,0.012308217,-0.164808563,0.698608041,-0.139686059,0.51796977,0.135652379,0.369940318,0.383747117,-0.09874375
FIN,-0.459212981,-0.084672236,-0.347299694,-0.515948901,-0.29970839,-0.289644616,-0.381709477,-0.373431858,-0.230450235,-0.296475348,-0.232862395,-0.297807416,-0.179381117,-0.236263401,-0.179381117,-0.303200266,-0.465523717,-0.179381117,-0.179381117,-0.232862395,-0.347299694,-0.439744006,-0.187832726,-0.578622901,0.046123947,0.332461919,0.203241773,0.418555939,-0.179381117,-0.361751608,-0.376689017,-0.385861614,-0.406594763,-0.358524013,-0.479141749,-0.413497013,-0.48345802,-0.538442592,-0.144208349,-0.1948957,-0.166191329,0.381182591,-0.420233198,-0.290430433,0.326889931,-0.271258176,-0.109311135,-0.232862395,-0.228103541,-0.232862395,-0.49158487,-0.361250098,0.020507542,-0.411539884,0.118590139,-0.439744006,-0.545454849,-0.397577334,-0.289916245,0.065406677
FRA,0.340901829,0.191149569,0.370023688,0.15568566,0.407058936,0.554231586,0.188560231,0.211623451,-0.385550464,0.218962471,0.290890442,-0.163221941,0.720067529,-0.078980991,0.349421243,-0.141351928,0.383806801,0.720067529,0.720067529,0.290890442,0.370023688,0.413297072,0.197893158,0.297292469,-0.093950196,-0.125798065,0.474602069,0.130834971,0.720067529,0.382803817,0.129591432,0.411372503,0.489041616,-0.296363292,0.400808689,0.392727587,0.197304014,0.314496678,0.054804964,-0.235721565,-0.121806408,0.383756525,0.197921642,0.325841321,0.462040234,0.711636241,0.387766723,0.290890442,0.341788681,0.290890442,0.370752201,0.267689362,0.280753026,0.408417781,0.191496795,0.413297072,-0.105094431,0.17753938,-0.063926318,-0.297495711
FRG,0.124364693,-0.118180496,-0.192451117,0.330270813,-0.180776347,-0.06677454,0.1647336,0.128429107,0.549519362,-0.192451117,-0.115011541,0.44089569,-0.079910977,0.26021447,-0.079910977,0.325639635,-0.131817851,-0.079910977,-0.079910977,-0.115011541,-0.192451117,-0.259501034,0.03058745,-0.160202361,0.241826708,0.168790796,0.112623498,-0.079910977,-0.079910977,0.034973774,0.151498796,-0.15891128,-0.192451117,0.27044935,-0.072810474,-0.237405372,0.274905246,0.030702154,-0.079910977,-0.115011541,0.319643908,-0.192451117,0.236689456,-0.143444594,-0.168790796,-0.047947995,-0.041394197,-0.115011541,-0.108721926,-0.115011541,-0.132919106,-0.237405372,-0.104771808,-0.231579061,-0.192451117,-0.259501034,0.402540392,0.121911246,0.230660026,0.451835941
GAB,0.257826235,0.288980832,0.415227399,0.198135064,0.31203058,0.106698103,0.233757811,0.292003263,-0.092847669,-0.08304548,-0.049629167,0.190252957,-0.034482759,0.188946735,-0.034482759,0.17864905,0.240205898,-0.034482759,-0.034482759,-0.049629167,0.415227399,0.307940881,0.247593784,0.228098737,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.196192055,0.198919965,0.274290193,-0.08304548,0.116702861,0.290051588,0.336601385,0.205517042,0.252130514,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,0.167232928,0.164019355,-0.049629167,-0.046915106,-0.049629167,0.242212665,0.336601385,0.188327481,0.274806844,-0.08304548,0.307940881,0.173702083,0.292784302,0.171107609,0.009031486
GBR,0.298189033,0.288208005,0.483067341,0.094275251,0.424734161,0.296742854,0.205368092,0.112870058,-0.273376716,0.079697979,0.309100233,-0.230451395,-0.01148117,0.023261047,0.218142232,-0.164304181,0.270572442,-0.01148117,-0.01148117,0.309100233,0.483067341,0.338294592,0.09456046,0.380120332,-0.198587706,-0.196860525,-0.219872939,0.062808754,-0.01148117,0.109659738,0.242395973,0.368885406,0.213070107,-0.312417305,0.318264071,0.404436465,0.146415168,0.239703209,0.211388603,0.401441497,-0.092524724,0.336683298,0.09202566,0.395618336,0.435803553,0.253269595,0.551665487,0.309100233,0.293727954,0.309100233,0.286821215,0.135003242,0.441522543,0.422994856,0.320418405,0.338294592,-0.046656639,0.06786082,0.087504403,-0.183608074
GDR,-0.087309241,-0.111568425,-0.181683686,0.277209008,-0.170662106,-0.024956617,0.130374664,-0.039726321,0.499626667,-0.181683686,-0.108576769,0.416228053,-0.075440044,0.219535319,-0.075440044,0.334898904,-0.152504572,-0.075440044,-0.075440044,-0.108576769,-0.181683686,-0.244982232,-0.05098907,-0.188162406,0.228296765,0.159347133,0.106322335,-0.075440044,-0.075440044,0.033017029,0.183985143,-0.150020366,-0.181683686,0.255318002,-0.178271172,-0.224122798,0.330071085,0.060966833,-0.075440044,-0.108576769,0.301760177,-0.181683686,0.294145709,-0.135419024,-0.159347133,-0.059136689,-0.102483692,-0.108576769,-0.102639052,-0.108576769,-0.082021925,-0.224122798,-0.050695367,-0.218622463,-0.181683686,-0.244982232,0.380018693,0.133743487,0.23430735,0.446214061
GEO,0.760929559,0.837596996,0.87877324,0.655623036,0.901426643,0.39639938,0.711887548,0.488580078,-0.28329707,0.61999339,0.573495752,0.15296327,-0.105213891,0.47794655,0.364890727,0.30347459,0.816884482,-0.105213891,-0.105213891,0.573495752,0.87877324,0.939590086,0.755458854,0.873671387,0.31839842,0.222236506,0.148284464,-0.105213891,-0.105213891,0.774975132,0.60694516,0.836915011,0.458255984,0.3560841,0.885006224,0.970034153,0.62707418,0.798414583,0.432048529,-0.151428654,0.387276661,-0.253388603,0.627369485,0.695182882,-0.222236506,0.570445071,0.543623914,0.573495752,0.526904639,0.573495752,0.829756823,0.599502008,0.163234571,0.972293242,-0.253388603,0.939590086,0.36085126,0.750113735,0.529489468,-0.016416873
GER,0.417004844,0.354428866,0.244950778,0.265125222,0.368884731,0.082747605,0.331275619,0.447754179,-0.336675978,0.416865774,0.102067365,0.199795435,-0.111041492,0.211961205,0.056920429,0.297563594,0.511007809,-0.111041492,-0.111041492,0.102067365,0.244950778,0.477445544,0.450785685,0.418520515,0.23190576,0.182807735,0.101263195,-0.174027213,-0.111041492,0.350602243,0.373759105,0.419367774,0.03932696,0.157341106,0.493239517,0.379987551,0.394598741,0.445624996,0.084914082,-0.109453819,0.090746094,-0.00449451,0.328895372,0.156612955,-0.286283811,0.256300641,0.185395296,0.102067365,0.090137887,0.102067365,0.517797879,0.60869293,0.088908759,0.350018738,-0.210118328,0.477445544,0.151422308,0.329739037,0.215307225,0.084530744
GHA,0.047763677,0.040938706,0.04,0.207710348,2.61E-17,-0.058400695,0.201058342,-0.092880356,0.447213595,0.04,0.239045722,0.035245369,-0.08304548,0.235647783,-0.08304548,0.197195115,0.22249708,-0.08304548,-0.08304548,0.239045722,0.04,-0.067419986,0.074535599,0.062098683,0.125656172,0.175411604,0.117041147,-0.08304548,-0.08304548,0.210804586,0.104144068,2.29E-17,0.04,0.281057708,-0.017037481,-0.035245369,0.030934411,0.16080283,0.415227399,-0.119522861,0.332181919,-0.2,0.033012244,0.149071198,-0.175411604,0.035021759,-0.037365897,0.239045722,0.112986537,0.239045722,0.089742361,-0.035245369,-0.318712662,0.030082842,-0.2,-0.067419986,0.418330013,0.143697028,0.219776902,0.250133022
GRE,0.128269153,-0.118611127,0.015248872,-0.038521806,-0.16551971,-0.02196677,-0.225344599,0.124433887,-0.197007861,0.22873308,0.051640016,-0.117343712,-0.090755076,-0.295729635,0.078091577,-0.131974023,0.172280342,-0.090755076,-0.090755076,0.051640016,0.015248872,0.219323465,0.045463352,0.262835127,-0.310836415,-0.39899534,-0.502703308,-0.069649244,-0.090755076,-0.185666943,-0.069346141,-0.089538429,-0.015248872,-0.035903083,0.187490709,0.196170023,0.069184849,0.134741404,-0.006331749,-0.039489424,-0.25432527,-0.167737592,-0.054534945,0.064406416,-0.135970479,0.004005317,0.087774452,0.051640016,0.067959513,0.051640016,0.158514415,0.178254952,0.104677108,0.180433566,-0.127073933,0.219323465,-0.036451776,0.008747884,-0.276951828,-0.338307075
GRN,0.510399506,0.572073954,0.821994937,0.454529194,0.617703836,0.29763147,0.48754337,0.087253923,-0.183803656,0.032879797,0.785977492,-0.144857574,-0.068262964,0.37404386,0.750892603,-0.029471525,0.621831008,-0.068262964,-0.068262964,0.785977492,0.821994937,0.60960776,0.490143081,0.59290502,0.206577475,0.14418745,0.09620723,-0.068262964,-0.068262964,0.603493465,0.393787126,0.542991984,0.624716152,0.231028013,0.574193651,0.666344839,0.406846871,0.534634916,0.34131482,-0.098247186,0.273051856,-0.164398987,0.407038465,0.857750392,-0.14418745,0.331058644,0.324696972,0.785977492,0.835869249,0.785977492,0.590142128,0.144857574,-0.080609291,0.766566255,-0.164398987,0.60960776,0.049123593,0.398305657,0.429056815,-0.089394816
GUA,0.350782407,0.393169422,0.564932683,0.317141525,0.424529483,0.211151753,0.336967138,0.022487635,-0.126322788,-0.112986537,0.607701334,-0.139378825,-0.046915106,0.257069225,0.891387009,-0.162039222,0.494403764,-0.046915106,-0.046915106,0.607701334,0.564932683,0.418965291,0.336860768,0.418280325,0.141974557,0.099095748,0.066120369,-0.046915106,-0.046915106,0.43118938,0.270638185,0.373182248,0.33895961,0.158778685,0.394626226,0.457958998,0.279613759,0.370150409,-0.046915106,-0.06752237,0.187660423,-0.112986537,0.279745436,0.477219422,-0.099095748,0.227526764,0.223154576,0.607701334,0.787234043,0.607701334,0.414036872,0.059733782,-0.0900256,0.543832978,-0.112986537,0.418965291,-0.101283556,0.209555474,0.284531397,-0.04915072
GUY,-0.138829511,-0.050996617,-0.08304548,0.09324003,-0.078007645,-0.03879931,0.045916713,-0.121208902,-0.092847669,-0.08304548,-0.049629167,0.190252957,-0.034482759,0.08772527,-0.034482759,0.17864905,-0.129341637,-0.034482759,-0.034482759,-0.049629167,-0.08304548,-0.111978502,-0.061898446,-0.128925373,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.015091697,0.198919965,-0.068572548,-0.08304548,0.116702861,-0.13441415,-0.1024439,0.205517042,0.072749121,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,-0.050896978,-0.101957977,-0.049629167,-0.046915106,-0.049629167,-0.130422204,-0.1024439,0.111978502,-0.099929762,-0.08304548,-0.111978502,0.173702083,0.084643803,0.114071739,0.212239911
HAI,-0.199809795,-0.012232778,-0.119522861,-0.243229026,-0.112272178,-0.265248291,-0.26434175,-0.174449407,-0.133630621,-0.119522861,-0.071428571,-0.200099798,-0.049629167,-0.092265629,-0.049629167,-0.385679852,-0.186154413,-0.049629167,-0.049629167,-0.071428571,-0.119522861,-0.161164593,-0.089087081,-0.185555306,-0.037546963,0.104828484,0.069945464,-0.049629167,-0.049629167,-0.108603307,-0.273847134,-0.098692754,-0.119522861,-0.196694809,-0.193455006,-0.147441956,-0.258815853,-0.239528029,-0.049629167,-0.071428571,-0.173702083,0.239045722,-0.164404912,-0.089087081,0.28827833,-0.308710182,-0.242444286,-0.071428571,-0.06752237,-0.071428571,-0.187709614,-0.147441956,-0.003662832,-0.143823493,-0.119522861,-0.161164593,-0.285714286,-0.177742106,-0.082088638,-0.084490432
HKG,0.441267912,0.478120805,0.615904445,0.433825947,0.513046224,0.295897963,0.442760408,-0.047028718,-0.168902403,0.40672935,0.951434773,-0.268275386,-0.062728778,0.322473134,0.516306092,0.012499487,0.540390953,-0.062728778,-0.062728778,0.951434773,0.615904445,0.560185896,0.450406407,0.581474318,0.189829913,0.132497946,0.088407558,-0.062728778,-0.062728778,0.610319682,0.361862181,0.498970766,0.546179413,0.212298207,0.527642864,0.550886098,0.373863152,0.500495085,0.805823527,-0.090282132,0.214725431,-0.151070902,0.374039213,0.753564565,-0.132497946,0.311850113,0.307678055,0.951434773,0.833753922,0.951434773,0.570977613,-0.002047904,-0.202279459,0.709663334,-0.151070902,0.560185896,0.10764408,0.352033997,0.383098786,-0.049920366
HUN,-0.04373446,0.124557207,-0.056236321,0.332698256,0.025735171,-0.356466382,0.346161462,-0.034152016,0.393366277,-0.030281096,0.046533641,0.461974747,-0.228119952,0.469618684,0.023350861,0.527204937,0.16458641,-0.228119952,-0.228119952,0.046533641,-0.056236321,-0.033539767,0.195070982,0.008782163,0.572562898,0.443902645,0.280999211,-0.317930957,-0.228119952,0.296371858,0.297789614,0.052388897,-0.220619413,0.600070836,-0.034271403,-0.060224431,0.14519282,0.139174366,0.041313062,-0.289542657,0.580179091,-0.428261213,0.228094042,0.009672941,-0.453387745,-0.06306171,-0.167643819,0.046533641,0.039915822,0.046533641,0.089936211,0.031255717,-0.464254015,-0.039691019,-0.540733854,-0.033539767,0.334783697,0.296857198,0.439711002,0.626644117
INA,0.825145125,0.70723981,0.575852601,0.714228503,0.743764079,0.420377403,0.739906364,0.725873213,-0.281672466,0.791797326,0.344137751,0.355182403,-0.119554889,0.497170822,0.149443611,0.470996496,0.848831583,-0.119554889,-0.119554889,0.344137751,0.575852601,0.84927444,0.777952526,0.837258082,0.361797169,0.252528071,0.168496122,-0.119554889,-0.119554889,0.711610438,0.689673775,0.772678783,0.187152095,0.404619531,0.895260849,0.786475321,0.712546447,0.876751015,0.328775944,-0.172068876,0.388553389,-0.2879263,0.712882003,0.375563288,-0.252528071,0.645986094,0.591724352,0.344137751,0.28465321,0.344137751,0.904371505,0.824530578,0.282356178,0.757893619,-0.2879263,0.84927444,0.505452323,0.762535272,0.509202632,0.178092627
IND,0.443516749,0.582663778,0.81908347,0.434207928,0.662746143,0.213600048,0.510763629,0.055954622,-0.117870506,0.283840806,0.736667245,-0.080032591,0.057245547,0.383196795,0.461331764,0.139566596,0.575601326,0.057245547,0.057245547,0.736667245,0.81908347,0.636973512,0.495660588,0.568491447,0.259854831,0.199155884,0.261022564,-0.144797561,0.057245547,0.691196762,0.404554318,0.582586383,0.478474502,0.30110808,0.554750528,0.684564487,0.336165732,0.495254156,0.562353318,-0.208399286,0.351891747,-0.202743433,0.377039887,0.646776621,-0.199155884,0.377387938,0.221210157,0.736667245,0.673473983,0.736667245,0.553118098,0.170069257,-0.215721033,0.769706249,-0.251401857,0.636973512,0.184166811,0.489580468,0.428873866,-0.034837508
IOA,0.257826235,0.288980832,0.415227399,0.198135064,0.31203058,0.106698103,0.233757811,0.292003263,-0.092847669,-0.08304548,-0.049629167,0.190252957,-0.034482759,0.188946735,-0.034482759,0.17864905,0.240205898,-0.034482759,-0.034482759,-0.049629167,0.415227399,0.307940881,0.247593784,0.228098737,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.196192055,0.198919965,0.274290193,0.415227399,0.116702861,0.290051588,0.336601385,0.205517042,0.252130514,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,0.557086015,-0.072835704,0.167232928,0.164019355,-0.049629167,-0.046915106,-0.049629167,0.242212665,0.336601385,0.188327481,0.274806844,-0.08304548,0.307940881,0.173702083,0.292784302,0.228143479,-0.058704656
IRI,0.537089271,0.668964854,0.690687048,0.581015075,0.680435682,0.155197543,0.646288419,0.297286322,-0.014125822,0.185306281,0.495820723,0.214490159,-0.15388849,0.571161811,0.475655334,0.293313433,0.678422661,-0.15388849,-0.15388849,0.495820723,0.690687048,0.671517398,0.618397091,0.640746051,0.412777383,0.32504872,0.216884597,-0.15388849,-0.15388849,0.687283417,0.506148335,0.65029941,0.311651473,0.537171011,0.627125245,0.700618374,0.418851713,0.585443385,0.213345407,-0.221483369,0.563091977,-0.370612563,0.479657909,0.571311018,-0.32504872,0.386803959,0.350927776,0.495820723,0.528186308,0.495820723,0.62267349,0.411167986,-0.131386644,0.722789731,-0.370612563,0.671517398,0.303281204,0.620521584,0.564032521,0.167404851
IRL,0.487506655,0.524664573,0.690674889,0.483047705,0.526229494,0.178822462,0.550449188,0.247436214,-0.317459178,0.230224963,0.564101498,0.089258001,-0.133833998,0.480784985,0.535335991,0.201545102,0.607862666,-0.133833998,-0.133833998,0.564101498,0.690674889,0.613109672,0.574858512,0.522378217,0.405008627,0.28268891,0.188620556,-0.133833998,-0.133833998,0.619207477,0.532279727,0.525948885,0.276269956,0.427403464,0.596212925,0.535548007,0.441556168,0.583492416,0.248548853,-0.192620024,0.368043494,-0.322314948,0.502460491,0.503358697,-0.28268891,0.34166467,0.26790837,0.564101498,0.598283388,0.564101498,0.587114807,0.332688913,-0.080430958,0.59908353,-0.322314948,0.613109672,0.123827158,0.482391095,0.495440015,0.166501155
IRQ,-0.138829511,-0.050996617,-0.08304548,-0.099067532,-0.078007645,-0.184296723,-0.03756822,-0.121208902,0.371390676,-0.08304548,-0.049629167,-0.029269686,-0.034482759,0.037114537,-0.034482759,-0.00744371,-0.129341637,-0.034482759,-0.034482759,-0.049629167,-0.08304548,-0.111978502,-0.061898446,-0.128925373,-0.156527657,0.072835704,0.048598691,-0.034482759,-0.034482759,0.015091697,-0.060540859,-0.068572548,-0.08304548,0.116702861,-0.13441415,-0.1024439,-0.179827412,-0.166426071,-0.034482759,-0.049629167,0.137931034,-0.08304548,-0.114229903,-0.061898446,-0.072835704,-0.105429454,-0.135205144,-0.049629167,-0.046915106,-0.049629167,-0.130422204,-0.1024439,-0.193417413,-0.099929762,-0.08304548,-0.111978502,0.173702083,-0.040240497,-4.75E-18,0.076767627
ISL,0.335132126,0.251339343,0.087705802,0.215408477,0.247155766,-0.00512208,0.262305499,0.354939224,-0.196116135,0.350823208,-0.104828484,0.285938159,-0.072835704,0.212021867,-0.072835704,0.279080921,0.117085709,-0.072835704,-0.072835704,-0.104828484,0.087705802,0.206959339,0.277831191,0.199003617,0.220415508,0.153846154,0.102651877,-0.072835704,-0.072835704,0.175324688,0.28315521,0.217262047,-0.175411604,0.270829961,0.276442899,0.247297867,0.230615824,0.216812558,-0.072835704,-0.104828484,0.291342816,-0.175411604,0.265408491,-0.13074409,-0.153846154,0.180457171,0.170882884,-0.104828484,-0.099095748,-0.104828484,0.118063885,0.247297867,0.115574696,0.184690784,-0.175411604,0.206959339,0.170346286,0.332662246,0.15059148,0.197919971
ISR,0.59704596,0.573141885,0.64,0.542432767,0.610568684,0.353324206,0.555423669,0.155906312,-0.223606798,0.34,0.866540742,-0.123358791,-0.08304548,0.394100603,0.788932059,0.017926829,0.734240363,-0.08304548,-0.08304548,0.866540742,0.64,0.640489869,0.559016994,0.692639157,0.251312345,0.175411604,0.117041147,-0.08304548,-0.08304548,0.668759375,0.479062715,0.578005977,0.58,0.281057708,0.647424282,0.652039324,0.49495058,0.646811384,0.415227399,-0.119522861,0.301039864,-0.2,0.495183665,0.819891592,-0.175411604,0.429016542,0.403017893,0.866540742,0.903892293,0.866540742,0.706721089,0.229094897,-0.0888718,0.774633178,-0.2,0.640489869,0.104582503,0.434432875,0.460157889,-0.002718837
